[16-04-2023 18:25:37.781] [INFO] Found mod ctm-refabricated-1.0.1+1.19.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.782] [INFO] Found 121 mods, Verifying installation...
[16-04-2023 18:25:37.784] [INFO] Verifying PuzzlesLib-v4.3.12-1.19.2-Fabric.jar ...
[16-04-2023 18:25:37.784] [INFO] Verifying indium-1.0.9+mc1.19.2.jar ...
[16-04-2023 18:25:37.784] [INFO] Verifying 3dskinlayers-fabric-1.5.2-mc1.19.1.jar ...
[16-04-2023 18:25:37.784] [INFO] Verifying createaddition-fabric+1.19.2-20230211a.jar ...
[16-04-2023 18:25:37.784] [INFO] Verifying connectivity-fabric-1.19.2-3.8.jar ...
[16-04-2023 18:25:37.784] [INFO] Verifying ftbbackups2-fabric-1.19.2-1.0.18.jar ...
[16-04-2023 18:25:37.784] [INFO] Verifying starlight-1.1.1+fabric.ae22326.jar ...
[16-04-2023 18:25:37.784] [INFO] Verifying Pehkui-3.7.3+1.14.4-1.20.jar ...
[16-04-2023 18:25:37.784] [INFO] Verifying iris-flywheel-compat-1.19.2-0.1.9-BETA.jar ...
[16-04-2023 18:25:37.784] [INFO] Verifying Croptopia-1.19.2-FABRIC-2.2.2.jar ...
[16-04-2023 18:25:37.784] [INFO] Verifying advdebug-2.3.0.jar ...
[16-04-2023 18:25:37.784] [INFO] Verifying Runelic-Fabric-1.19.2-14.1.4.jar ...
[16-04-2023 18:25:37.784] [INFO] Verifying creeperoverhaul-2.0.9-fabric.jar ...
[16-04-2023 18:25:37.784] [INFO] Verifying avaritia-0.0.4-1.19.X.jar ...
[16-04-2023 18:25:37.784] [INFO] Verifying megacells-fabric-1.5.3-1.19.2.jar ...
[16-04-2023 18:25:37.784] [INFO] Verifying Patchouli-1.19.2-77-FABRIC.jar ...
[16-04-2023 18:25:37.785] [INFO] Verification of 3dskinlayers-fabric-1.5.2-mc1.19.1.jar was successful!
[16-04-2023 18:25:37.785] [INFO] Verification of createaddition-fabric+1.19.2-20230211a.jar was successful!
[16-04-2023 18:25:37.785] [INFO] Verification of advdebug-2.3.0.jar was successful!
[16-04-2023 18:25:37.785] [INFO] Verification of Croptopia-1.19.2-FABRIC-2.2.2.jar was successful!
[16-04-2023 18:25:37.785] [INFO] Verification of indium-1.0.9+mc1.19.2.jar was successful!
[16-04-2023 18:25:37.785] [INFO] Verification of connectivity-fabric-1.19.2-3.8.jar was successful!
[16-04-2023 18:25:37.785] [INFO] Verification of PuzzlesLib-v4.3.12-1.19.2-Fabric.jar was successful!
[16-04-2023 18:25:37.785] [INFO] Verification of iris-flywheel-compat-1.19.2-0.1.9-BETA.jar was successful!
[16-04-2023 18:25:37.785] [INFO] Verification of starlight-1.1.1+fabric.ae22326.jar was successful!
[16-04-2023 18:25:37.785] [INFO] Verification of avaritia-0.0.4-1.19.X.jar was successful!
[16-04-2023 18:25:37.785] [INFO] Verification of Runelic-Fabric-1.19.2-14.1.4.jar was successful!
[16-04-2023 18:25:37.785] [INFO] Verification of megacells-fabric-1.5.3-1.19.2.jar was successful!
[16-04-2023 18:25:37.785] [INFO] Verification of Patchouli-1.19.2-77-FABRIC.jar was successful!
[16-04-2023 18:25:37.785] [INFO] Verification of Pehkui-3.7.3+1.14.4-1.20.jar was successful!
[16-04-2023 18:25:37.785] [INFO] Verification of ftbbackups2-fabric-1.19.2-1.0.18.jar was successful!
[16-04-2023 18:25:37.786] [INFO] Verification of creeperoverhaul-2.0.9-fabric.jar was successful!
[16-04-2023 18:25:37.786] [INFO] Verifying icarus-1.14.jar ...
[16-04-2023 18:25:37.786] [INFO] Verifying bclib-2.1.6.jar ...
[16-04-2023 18:25:37.786] [INFO] Verifying MouseTweaks-fabric-mc1.19-2.22.jar ...
[16-04-2023 18:25:37.786] [INFO] Verifying NoChatReports-FABRIC-1.19.2-v1.13.12.jar ...
[16-04-2023 18:25:37.786] [INFO] Verifying sodium-fabric-mc1.19.2-0.4.4+build.18.jar ...
[16-04-2023 18:25:37.786] [INFO] Verifying fabric-api-0.76.0+1.19.2.jar ...
[16-04-2023 18:25:37.786] [INFO] Verifying cloth-config-8.2.88-fabric.jar ...
[16-04-2023 18:25:37.786] [INFO] Verifying iris-mc1.19.2-1.6.0.jar ...
[16-04-2023 18:25:37.786] [INFO] Verifying AE2WTLib-12.8.5.jar ...
[16-04-2023 18:25:37.786] [INFO] Verifying Prism-1.19.2-fabric-1.0.3.jar ...
[16-04-2023 18:25:37.787] [INFO] Verifying kubejs_botania-1.0.4-fix2-fabric.jar ...
[16-04-2023 18:25:37.787] [INFO] Verifying LegendaryTooltips-1.19.2-fabric-1.3.3.jar ...
[16-04-2023 18:25:37.787] [INFO] Verifying MagnumTorch-v4.2.1-1.19.2-Fabric.jar ...
[16-04-2023 18:25:37.787] [INFO] Verifying youre-in-grave-danger-1.4.8.jar ...
[16-04-2023 18:25:37.787] [INFO] Verifying light-overlay-7.0.0.jar ...
[16-04-2023 18:25:37.787] [INFO] Verifying gardenofglass-1.11.jar ...
[16-04-2023 18:25:37.787] [INFO] Verification of icarus-1.14.jar was successful!
[16-04-2023 18:25:37.787] [INFO] Verification of bclib-2.1.6.jar was successful!
[16-04-2023 18:25:37.787] [INFO] Verification of MouseTweaks-fabric-mc1.19-2.22.jar was successful!
[16-04-2023 18:25:37.787] [INFO] Verification of sodium-fabric-mc1.19.2-0.4.4+build.18.jar was successful!
[16-04-2023 18:25:37.787] [INFO] Verification of NoChatReports-FABRIC-1.19.2-v1.13.12.jar was successful!
[16-04-2023 18:25:37.787] [INFO] Verification of fabric-api-0.76.0+1.19.2.jar was successful!
[16-04-2023 18:25:37.787] [INFO] Verification of cloth-config-8.2.88-fabric.jar was successful!
[16-04-2023 18:25:37.788] [INFO] Verification of AE2WTLib-12.8.5.jar was successful!
[16-04-2023 18:25:37.788] [INFO] Verification of kubejs_botania-1.0.4-fix2-fabric.jar was successful!
[16-04-2023 18:25:37.788] [INFO] Verification of iris-mc1.19.2-1.6.0.jar was successful!
[16-04-2023 18:25:37.788] [INFO] Verification of MagnumTorch-v4.2.1-1.19.2-Fabric.jar was successful!
[16-04-2023 18:25:37.788] [INFO] Verification of Prism-1.19.2-fabric-1.0.3.jar was successful!
[16-04-2023 18:25:37.788] [INFO] Verification of youre-in-grave-danger-1.4.8.jar was successful!
[16-04-2023 18:25:37.788] [INFO] Verification of LegendaryTooltips-1.19.2-fabric-1.3.3.jar was successful!
[16-04-2023 18:25:37.788] [INFO] Verification of light-overlay-7.0.0.jar was successful!
[16-04-2023 18:25:37.788] [INFO] Verifying Emojiful-Fabric-1.19.2-4.0.4.jar ...
[16-04-2023 18:25:37.788] [INFO] Verification of gardenofglass-1.11.jar was successful!
[16-04-2023 18:25:37.788] [INFO] Verifying konkrete_fabric_1.6.0_MC_1.19.1-1.19.2.jar ...
[16-04-2023 18:25:37.788] [INFO] Verifying AttributeFix-Fabric-1.19.2-17.2.6.jar ...
[16-04-2023 18:25:37.788] [INFO] Verifying PigPen-Fabric-1.19.2-11.1.2.jar ...
[16-04-2023 18:25:37.788] [INFO] Verifying ftb-library-fabric-1902.3.17-build.200.jar ...
[16-04-2023 18:25:37.788] [INFO] Verifying cullleaves-fabric-3.0.1.jar ...
